,name,step,client,treeHeight,numConditions,executionTime_mean,executionTime_std,peakMemoryUsage_mean,peakMemoryUsage_std,meanMemoryUsage_mean,meanMemoryUsage_std,stdMemoryUsage_mean,stdMemoryUsage_std,mode,executionTime_meanS,peakMemoryUsage_meanM,peakMemoryUsage_meanG,provePeakMemoryG,verifyPeakMemoryG,verifyTimeS,proveTimesS
79,SingleProof,prove,nargo,24,10,228447.33333333334,18436.913118343142,12064680618.666666,8888741458.97505,4150112852.2459526,2637767195.5073037,3437784544.243195,2871909191.910829,SingleProof,228.44733333333335,11505.776041666666,11.236109415690104,11.236109415690104,11.236109415690104,228.44733333333335,228.44733333333335
109,SingleProof,prove,noir_rs,24,10,206007.66666666666,217.15048545498385,10644204202.666666,44509506.485250354,5685139660.346906,45372414.30499277,4551927789.711989,28861878.702413272,SingleProof,206.00766666666667,10151.104166666666,9.913187662760416,9.913187662760416,9.913187662760416,206.00766666666667,206.00766666666667
80,SingleProof,prove,nargo,32,1,11820.333333333334,2467.93888363009,1302424234.6666667,833322599.1139469,789348932.8231641,422162131.4538101,268977666.9686938,185211507.9724571,SingleProof,11.820333333333334,1242.0885416666667,1.2129770914713542,1.2129770914713542,1.2129770914713542,11.820333333333334,11.820333333333334
110,SingleProof,prove,noir_rs,32,1,26093.0,201.78453855536108,1323996501.3333333,16904876.968595494,745847504.3573548,19873280.180458393,561659641.2690039,2892178.907809084,SingleProof,26.093,1262.6614583333333,1.2330678304036458,1.2330678304036458,1.2330678304036458,26.093,26.093
81,SingleProof,prove,nargo,32,2,25019.666666666668,2825.7760585958213,1650753536.0,1862331782.2144957,837112999.0040221,672601192.0441656,311316626.0491321,393165010.4289423,SingleProof,25.01966666666667,1574.28125,1.537384033203125,1.537384033203125,1.537384033203125,25.01966666666667,25.01966666666667
111,SingleProof,prove,noir_rs,32,2,51863.333333333336,828.7981258022559,2646310912.0,7133101.385682949,1494500573.1972568,8461846.142261844,1123375118.1563406,12994786.807615569,SingleProof,51.86333333333334,2523.71875,2.464569091796875,2.464569091796875,2.464569091796875,51.86333333333334,51.86333333333334
82,SingleProof,prove,nargo,32,3,47454.333333333336,2200.6013572051925,3012897450.6666665,3784804904.3182445,1213002266.1636283,979740162.0917727,604416581.8076503,830000059.4614942,SingleProof,47.45433333333334,2873.3229166666665,2.8059794108072915,2.8059794108072915,2.8059794108072915,47.45433333333334,47.45433333333334
112,SingleProof,prove,noir_rs,32,3,90441.66666666667,888.5079253069889,4989523285.333333,36572729.93095512,2980971994.5886655,32135902.517596338,2086006183.9879913,20989884.31202895,SingleProof,90.44166666666668,4758.380208333333,4.6468556722005205,4.6468556722005205,4.6468556722005205,90.44166666666668,90.44166666666668
83,SingleProof,prove,nargo,32,4,68850.66666666667,504.1044865237109,8094405973.333333,6034368073.738086,2514670265.9763637,1475149281.6286163,1821265390.3330986,1451773254.203412,SingleProof,68.85066666666667,7719.427083333333,7.538503011067708,7.538503011067708,7.538503011067708,68.85066666666667,68.85066666666667
113,SingleProof,prove,noir_rs,32,4,103182.0,,6248024576.0,,2896411427.5957217,,2212249745.0599647,,SingleProof,103.182,5958.58056640625,5.8189263343811035,5.8189263343811035,5.8189263343811035,103.182,103.182
