,name,step,client,treeHeight,numConditions,executionTime_mean,executionTime_std,peakMemoryUsage_mean,peakMemoryUsage_std,meanMemoryUsage_mean,meanMemoryUsage_std,stdMemoryUsage_mean,stdMemoryUsage_std,mode,executionTime_meanS,peakMemoryUsage_meanM,peakMemoryUsage_meanG,provePeakMemoryG,verifyPeakMemoryG,verifyTimeS,proveTimesS
3,MultiProof,verify,nargo,16,4,28939.0,111.36875683960919,1148261717.3333333,17468404.8449854,426054986.53657824,12970958.302876364,133218606.2003584,3629505.1658501215,MultiProof,28.939,1095.0677083333333,1.0694020589192708,1.0694020589192708,1.0694020589192708,28.939,28.939
33,MultiProof,verify,noir_rs,16,4,3940.6666666666665,43.93555887129853,267064661.33333334,7389335.365781505,207182303.76883388,3450888.2979431283,85974169.16283695,595229.0829689172,MultiProof,3.9406666666666665,254.69270833333334,0.24872334798177084,0.24872334798177084,0.24872334798177084,3.9406666666666665,3.9406666666666665
4,MultiProof,verify,nargo,16,5,39631.666666666664,3357.681690293666,1148228949.3333333,6331972.648559186,534967144.9698337,107455603.70795564,177030530.34689474,46003971.351710714,MultiProof,39.63166666666667,1095.0364583333333,1.0693715413411458,1.0693715413411458,1.0693715413411458,39.63166666666667,39.63166666666667
34,MultiProof,verify,noir_rs,16,5,4895.333333333333,136.27301028939422,260876970.66666666,3296822.878458186,194551645.78347054,1659795.2607759663,88531835.7499538,2017605.6088283258,MultiProof,4.895333333333333,248.79166666666666,0.24296061197916666,0.24296061197916666,0.24296061197916666,4.895333333333333,4.895333333333333
5,MultiProof,verify,nargo,16,6,49377.666666666664,2753.3126108986135,1176240128.0,20307199.675663408,584102287.222835,77757382.12697265,199964479.36694142,31606967.340138283,MultiProof,49.37766666666666,1121.75,1.095458984375,1.095458984375,1.095458984375,49.37766666666666,49.37766666666666
35,MultiProof,verify,noir_rs,16,6,5748.666666666667,173.10208933844024,267130197.33333334,6985933.4374170285,197143482.64585507,1956961.1010161827,89759382.94624291,1373421.404618587,MultiProof,5.748666666666667,254.75520833333334,0.24878438313802084,0.24878438313802084,0.24878438313802084,5.748666666666667,5.748666666666667
6,MultiProof,verify,nargo,16,7,49346.666666666664,28.746014216468016,1155874816.0,19265877.257740848,385621058.37535495,4701472.617678196,117155252.46811272,3142478.1275620456,MultiProof,49.346666666666664,1102.328125,1.0764923095703125,1.0764923095703125,1.0764923095703125,49.346666666666664,49.346666666666664
36,MultiProof,verify,noir_rs,16,7,7392.333333333333,799.2373448064932,262782976.0,6796911.829136523,205326141.35399747,549573.6636981969,85104527.57184339,1689224.177615209,MultiProof,7.392333333333333,250.609375,0.2447357177734375,0.2447357177734375,0.2447357177734375,7.392333333333333,7.392333333333333
7,MultiProof,verify,nargo,16,8,59784.666666666664,3360.579761489575,1166404266.6666667,11787059.230839476,461739628.8576198,69083091.43657598,149331586.94827095,28392944.75386658,MultiProof,59.784666666666666,1112.3697916666667,1.0862986246744792,1.0862986246744792,1.0862986246744792,59.784666666666666,59.784666666666666
37,MultiProof,verify,noir_rs,16,8,8327.666666666666,684.6475979168649,267812864.0,7776395.966083003,206161229.64247218,5162256.900688837,83974998.32496502,1478973.8489289263,MultiProof,8.327666666666666,255.40625,0.249420166015625,0.249420166015625,0.249420166015625,8.327666666666666,8.327666666666666
8,MultiProof,verify,nargo,16,9,67946.66666666667,6232.417214318481,1169478997.3333333,11044837.480652997,467227297.7928212,110076123.65222341,151161203.27693105,45697466.687873624,MultiProof,67.94666666666667,1115.3020833333333,1.0891621907552083,1.0891621907552083,1.0891621907552083,67.94666666666667,67.94666666666667
38,MultiProof,verify,noir_rs,16,9,8903.333333333334,59.04518044119547,258757973.33333334,52667.191356031944,202730762.44430685,1124535.3063142542,85263984.2303225,1422041.2178295057,MultiProof,8.903333333333334,246.77083333333334,0.24098714192708334,0.24098714192708334,0.24098714192708334,8.903333333333334,8.903333333333334
9,MultiProof,verify,nargo,16,10,136903.0,103704.44359331956,1169091242.6666667,18364887.89193347,502261043.03474116,23343044.658618122,165556628.75374472,10465459.843886476,MultiProof,136.903,1114.9322916666667,1.0888010660807292,1.0888010660807292,1.0888010660807292,136.903,136.903
39,MultiProof,verify,noir_rs,16,10,9740.666666666666,176.9020444577544,264279381.33333334,9005319.700786045,196336330.6468731,2457908.273580427,89469359.13352108,607161.8942969443,MultiProof,9.740666666666666,252.03645833333334,0.24612935384114584,0.24612935384114584,0.24612935384114584,9.740666666666666,9.740666666666666
10,MultiProof,verify,nargo,24,1,9184.333333333334,2030.3660589493052,883643733.3333334,509548943.6362678,494369754.2413664,199742539.68147177,166342770.21209064,104472908.25672276,MultiProof,9.184333333333335,842.7083333333334,0.8229573567708334,0.8229573567708334,0.8229573567708334,9.184333333333335,9.184333333333335
40,MultiProof,verify,noir_rs,24,1,2131.6666666666665,287.8581826756594,278691840.0,2655572.982347877,243262184.72727272,5722069.986669158,66355499.99847931,3774138.0913487263,MultiProof,2.1316666666666664,265.78125,0.259552001953125,0.259552001953125,0.259552001953125,2.1316666666666664,2.1316666666666664
11,MultiProof,verify,nargo,24,2,17323.333333333332,29.73774257292119,1194967040.0,15875445.022773504,425516884.1205844,15971117.512496173,133914887.32987098,2203011.394502193,MultiProof,17.32333333333333,1139.609375,1.1128997802734375,1.1128997802734375,1.1128997802734375,17.32333333333333,17.32333333333333
